Sport,Organisation,Postal Address,Postal Address Suburb,Postal Address State,Postal Address Postcode,Street Address,Street Address Suburb,Street Address State,Street Address Postcode,Phone,Email,Website
Orienteering,Queensland Orienteering,PO Box 114,Spring Hill,QLD,4004,,,,,1300 799 736,admin@oq.asn.au ,www.oq.asn.au
Powerlifting,Powerlifting Australia Ltd,GPO Box 2322,Melbourne,VIC,3001,"Level 6, 167-169 Queen Street",Melbourne,VIC,3001,(03) 9670 2933,rwilks@snapmail.com.au,www.powerliftingaustralia.com
Rowing,Rowing Queensland Inc,PO Box 3575,South Brisbane,QLD,4101,"Davies Park, 150 Jane Street",West End,QLD,4101,(07) 3842 1200,rosss@rowingqld.asn.au,www.rowingqld.asn.au
Rugby league,Queensland Rugby Football League Ltd,Locked Bag 3000,Paddington,QLD,4064,Cnr Castlemaine and Chippendall Streets,Milton,QLD,4064,(07) 3367 6000,rugbyleague@qrl.com.au,www.qrl.com.au
Rugby union,Queensland Rugby Union Ltd,PO Box 205,Kelvin Grove,QLD,4059,"Rugby House, 231 Butterfield Street",Herston,QLD,4006,(07) 3354 9333,rugby@qru.com.au,www.qru.com.au
Softball,Queensland Softball Association Inc,"Sports House South, 866 Main Street",Woolloongabba,QLD,4102,"Level 2 Sports House, 866 Main Street",Woolloongabba,QLD,4102,(07) 3391 2447,admin@softballqld.asn.au,www.qld.softball.org.au
Sports First Aid,Aquatic Safety Trainers,1/5 Snipe Street,Mianmi,QLD,4220,,,,,(07) 55205341,aquaticst@optusnet.com.au,www.sma.org.au/state-branches/qld/
Sports Medicine,Sports Medicine Australia (Qld branch),Sports House 150 Caxton Street,Milton,QLD,4064,,,,,(07) 33672700,info@sportsmedicine.com.au,www.sportsmedicine.com.au
Swimming,Austraian Swimming Coaches and Teachers Association,PO Box 158,Beerwah,QLD,4519,,,,,(07) 54949022,david@ascta.com ,www.ascta.com
Table Tennis,Table Tennis Queensland Inc,"Suite 2.06 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,"Suite 2.06 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,(07) 3217 5579,admin@tabletennisqld.org,www.tabletennisqld.org
Tennis,Tennis Queensland,Po Box 2366,Graceville,QLD,4075,Unit 8 / 148 Tennyson Memorial Drive,Yeerongpilly,QLD,4105,(07) 3426 4888,info@tennisqueensland.com.au,www.tennis.com.au/qld
Touch football,Queensland Touch Association Inc,PO Box 1279,Beenleigh,QLD,4207,1 Lae St,Beenleigh,QLD,4207,(07) 3807 2000,admin@qldtouch.com.au,www.qldtouch.com.au
Traithlon,Triathlon Queensland Ltd,"Suite 2.14 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,"Suite 2.14 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,(07) 3369 9600,admin@triathlonqld.com.au,www.triathlonqld.com.au
Ultimate Disc,Queensland Ultimate Disc Association Inc,PO Box 15048,City East,QLD,4002,,,,,,info@quda.org,www.quda.org
Volleyball,Queensland Volleyball Association Inc,"Suite 2.12 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,"Suite 2.12 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,(07) 3367 1991,am@qva.org.au,www.qva.org.au
Waterpolo,Queensland Water Polo Inc,"Suite 1.10 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,"Suite 1.10 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,(07) 3367 1661,info@waterpoloqld.com.au,www.waterpoloqld.com.au
