Column,Title,Wheelchair access,Description,Address 1,Address 2,Suburb,State,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal state,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Notes,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services
WDRC,Jandowae QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Cnr George & High Sts,,Jandowae,QLD,4410,Cnr George & High Sts,,Jandowae,QLD,4410,-26.78116,151.110075,4668 5488,4668 4479,jandowae.qgap@qld.gov.au,,,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,,,,,,
JAG,Julia Creek QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Julia Creek Courthouse,Burke Street,Julia Creek,QLD,4823,PO Box 6,,Julia Creek,QLD,4823,-20.657051,141.744263,4746 7162,4746 7338,courthouse.juliacreek@justice.qld.gov.au,,,10:00,14:30,10:00,14:30,10:00,14:30,10:00,14:30,10:00,14:30,,,,,,
POL,Jundah QGAP,No,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Police Station,Dickson Street,Jundah,QLD,4736,Police Station,Dickson Street,Jundah,QLD,4736,-24.831455,143.058856,4658 6193,,QGAPJundah@police.qld.gov.au,,,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,12:00,16:00,,,,,,
GRC,Kilkivan QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,26 Bligh Street,,Kilkivan,QLD,4600,PO Box 9,,Kilkivan,QLD,4600,-26.085338,152.241388,5484 1859,5484 1390,kilkivan.qgap@qld.gov.au,No new vehicle registrations after 2.30pm,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,
LVRC,Laidley QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,9 Spicer Street,,Laidley,QLD,4341,C/- Council,9 Spicer Street,Laidley,QLD,4341,-27.629922,152.395304,1300 005 872,,laidley.qgap@qld.gov.au,"New vehicle registrations 9.00 am - 12.00 pm 
and 2.00 pm - 3.30 pm unless by prior appointment",,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,,,,,,
SSQ,Landsborough QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,12 Caloundra Street,,Landsborough,QLD,4550,12 Caloundra Street,,Landsborough,QLD,4550,-26.8099298,152.9660608,5494 1054,5494 1070,,,,8:30-12:45,14:00-16:30,8:30-12:45,14:00-16:30,8:30-12:45,14:00-16:30,8:30-12:45,14:00-16:30,,,,,,,,
SRC,Lowood QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,1 Michel Street,,Lowood,QLD,4311,PO Box 102,,Lowood,QLD,4311,-27.463471,152.580387,5425 9103,5426 1816,lowood.qgap@qld.gov.au,"No new vehicle registrations after 3.30pm. 
No licencing services at this site. ",,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,,,,,,
HOU,Malanda QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,3 English Street,,Malanda,QLD,4885,PO Box 43,,Ravenshoe,QLD,4888,-17.35284,145.595679,4097 6660,40976830,trevor.wellman@hpw.qld.gov.au,,,,,,,,,,,9:00-13:00,13:30-16:00,,,,,,
POL,Maleny QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Police Station,10 Macadamia Drive,Maleny,QLD,4552,Maleny Police Station,PO Box 1200,Maleny,QLD,4552,-26.758609,152.849285,5420 5320,5494 2655,Phipps.JudyM@police.qld.gov.au,New vehicle/trailer registrations and Housing services close 11am and 1pm.,,9:00-12:00,12:30-14:00,9:00-12:00,12:30-14:00,,,9:00-12:00,12:30-14:00,,,,,,,,
SSQ,Maroochydore QGSC,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state government agencies. ,"Mike Ahern Centre, ","Ground floor, 12 First Avenue",Maroochydore,QLD,4558,"Mike Ahern Centre, ","Ground floor, 12 First Avenue",Maroochydore,QLD,4558,-26.656606,153.093294,13 QGOV (13 74 68),5453 1812,,,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,
KAN,Mary Valley QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,45 Main St,,Kandanga,QLD,4570,45 Main St,,Kandanga,QLD,4570,-26.38692,152.676474,5484 3203,5484 3203,qgapmv@qld.gov.au,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,,,,,
IRC,Middlemount QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Middlemount Shopping Centre,,Middlemount,QLD,4746,P.O. Box 168,,Middlemount,QLD,4746,-22.809045,148.698902,4985 7255,4981 2888,middlemount.qgap@qld.gov.au,,,8:30-13:00,13:45-16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30-13:00,13:45-16:00,,,,,,
POL,Miles QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Police Station,32 Constance Street,Miles,QLD,4415,PO Box 143,,Miles,QLD,4415,-26.657153,150.185786,4627 1177,4627 1957,QGAP.Miles@police.qld.gov.au,,,9:00-12:30,13.30-16:00,9:00-12:30,13.30-16:00,9:00-12:30,13.30-16:00,9:00-12:30,13.30-16:00,9:00-12:30,13.30-16:00,,,,,,
MRC,Mirani QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,20 Victoria Street,,Mirani,QLD,4754,PO Box 41,,Mirani,QLD,4754,-21.15876,148.863494,4961 9210,4959 1275,mirani.qgap@qld.gov.au,No licencing services available at this site,,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,,,,,,
JAG,Mitchell QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Mitchell Courthouse,Cnr Mary & Dublin Streets,Mitchell,QLD,4465,PO Box 41,,Mitchell,QLD,4465,-26.488493,147.978231,4623 1106,4623 1510,courthouse.mitchell@justice.qld.gov.au,No new vehicle registrations or drivers' licence issue/renewals after 3:30pm,,9:00-12:30,13:30-16:00,9:00-12:30,13:30-16:00,9:00-12:30,13:30-16:00,9:00-12:30,13:30-16:00,9:00-12:30,13:30-16:00,,,,,,
DNRM,Monto QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,53 Newton Street,,Monto,QLD,4630,PO Box 210,,Monto,QLD,4630,-24.864663,151.124656,4166 1350,4166 1047,Ken.Hendren@dnrm.qld.gov.au,No new vehicle registrations after 3.00pm,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,
JAG,Moranbah QGAP,No,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Moranbah Courthouse,21 Griffin Street,Moranbah,QLD,4744,PO Box 41,,Moranbah,QLD,4744,-21.998992,148.045319,4941 7633,4941 5743,courthouse.moranbah@justice.qld.gov.au,No new vehicle registrations after 3:30pm,,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,,,,,,
JAG,Mossman QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Mossman Courthouse,27 Front St,Mossman,QLD,4873,27 Front St,,Mossman,QLD,4873,-16.46042,145.373603,4098 1500,4098 2207,courthouse.mossman@justice.qld.gov.au,"No new vehicle registrations after 4.00pm
No new vehicle registration services on Wednesdays 
Volunteer JP service available every Tuesday and Friday from 10:00am to 12:30pm ",,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,
RORC,Mount Morgan QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,32 Hall St,,Mt Morgan,QLD,4714,PO Box 1860,,Rockhampton,QLD,4700,-23.648318,150.388611,4938 1359,130022 5579,mtmorgan.qgap@qld.gov.au,,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,
TRAN,Moura QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Marshall & Shirley Streets,,Moura,QLD,4718,PO Box 63,,Moura,QLD,4718,-24.570353,149.973206,4997 2244,4997 1388,qgmoura@tmr.qld.gov.au,No new vehicle registrations or written tests after 4.00 pm unless by prior appointment,,9:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,10:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,,,,,,
HOU,Mt Garnet QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Police Station,Garnet Street,Mount Garnet,QLD,4872,PO Box 43,,Ravenshoe,QLD,4888,-17.67661,145.1143,4097 6660,40976830,trevor.wellman@hpw.qld.gov.au,,,10:00,15:30,,,10:00,15:30,,,,,,,,,,
NBRC,Mundubbera QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,51 Lyons Street,,Mundubbera,QLD,4626,PO Box 390,,Gayndah,QLD,4626,-25.59093,151.299568,1300 696 272,4165 4803,mundubbera.qgap@qld.gov.au,,,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,,,,,,
JAG,Murgon QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Murgon Courthouse,48 Stephens Street West,Murgon,QLD,4605,PO Box 254,,Murgon,QLD,4605,-26.240038,151.940991,4168 1801,4168 1669,courthouse.murgon@justice.qld.gov.au,No new vehicle registrations before 9.30am Wednesdays,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,
