Title,Location,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,Facilities,Counter type
Roma Youth Justice Centre,Roma,62 Arthur Street,,Roma,4455,PO Box 66,,ROMA,4455,-26.570126,148.790467,(07) 4624 3055,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Cairns Youth Justice Centre,Cairns,277 Mulgrave Road,,Cairns,4870,PO Box 327,,WESTCOURT,4870,-16.9335696,145.7530954,(07) 4048 9801,(07) 4048 9869,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
North Queensland Rural Youth Justice Centre - Mt Isa,Mt Isa,Level One Suite 25/30 Mt Isa House,"119 Camooweal St, Mt Isa",Mt Isa,4825,PO Box 1810,,MT ISA,4825,-20.7221887,139.493756,(07) 4747 3499,(07) 4747 3466,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Remote Youth Justice Centre,Cairns,277 Mulgrave Road,,Cairns,4870,PO Box 327,,WESTCOURT,4870,-16.9355696,145.7530954,(07) 4048 9802,(07) 4048 9868,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Townsville Youth Justice Centre,Kirwan,109 Bamford Lane,,Kirwan,4817,PO Box 4148,,KIRWAN,4817,-19.303116,146.740376,(07) 4799 9200,(07) 4723 5431,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Tablelands and Cassorwary Coast Youth Justice Centre - Atherton,Atherton,81 Main Street,,Atherton,4883,PO Box 399,,ATHERTON,4883,-17.266429,145.474815,(07) 4091 0100,(07) 4091 0150,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Tablelands and Cassorwary Coast Youth Justice Centre - Innisfail,Innisfail,31 Glady Street,,Innisfail,4860,PO Box 111,,INNISFAIL,4860,-17.525154,146.027396,(07) 4048 3725,(07) 4048 3740,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
North Queensland Rural Youth Justice Centre - Townsville,Townsville,Level One 187 Stanley Street,,Townsville,4810,PO Box 1598,,TOWNSVILLE,4810,-19.260047,146.813958,(07) 4760 7692,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
South West Youth Justice Centre - Toowoomba,Toowoomba,49 Neil Street,,Toowoomba,4350,PO Box 2525,,TOOWOOMBA,4350,-27.562384,151.95499,(07) 4615 3444,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
South West Youth Justice Conferencing - Ipswich,Ipswich,"The Annexe, Limestone Street Centre",38 Limestone Street,Ipswich,4305,PO Box 104,,IPSWICH,4305,-27.6159304,152.7625487,(07) 3280 1874,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Brisbane Youth Detention Centre,Wacol,Corner Aveyron and Wolston Park Roads,,Wacol,4076,PO Box 450,,ARCHERFIELD,4108,-27.591691,152.915883,(07) 3271 0605,,,Visiting hours,11:30-14:30,18:00-19:15,11:30-14:30,18:00-19:15,11:30-13:00,13:00-14:30,11:30-14:30,18:00-19:15,11:30-14:30,18:00-19:15,11:30-13:00,14:30-15:45,11:30-13:00,14:30-15:45,DJAG,,,
Cleveland Youth Detention Centre,Townsville,Old Common Road,,Belgian Gardens,4810,Old Common Road,,BELGIAN GARDENS,4810,-19.251653,146.787617,(07) 4421 5222,,,Visiting hours,,14:00-16:00,10:30-12:00,14:00-16:00,10:30-12:00,14:00-16:00,,14:00-16:00,,14:00-16:00,10:30-12:00,14:00-16:00,10:30-12:00,14:00-17:00,DJAG,,,
Southern Outlook,Boonah,Ipswich-Boonah Road,,Boonah,4310,PO Box 226,,BOONAH,4310,-27.988566,152.701206,(07) 5463 1900,(07) 5463 1185,,,,,,,,,,,,,,,,,DJAG,,,
Northern Outlook,Cairns,646 Redlynch Intake Road,,Redlynch,4870,PO Box 563,,REDLYNCH,4870,-16.925611,145.694587,(07) 4036 7000,(07) 4039 3498,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Lake Perseverance Centre,Crows Nest,854 Perseverance Dam Road,,Crows Nest,4355,,,,,-27.289127,152.127422,(07) 4697 8900,,,,,,,,,,,,,,,,,,DJAG,,,
