Title,Name,Category,Street,Postal,Latitude,Longitude,Phone,Fax,Spectrum Extension,Reporting,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode
Gladstone,Gladstone,Probation and Parole Office,"Level 2  
Government Building  
Corner Roseberry Street and Oaka Lane  
Gladstone QLD 4680","PO Box 836  
Gladstone QLD 4680",-23.843402,151.257189,4971 2380,4971 2389,28380,"* Biloela
* Miriamvale
* Moura
* Mt. Larcom
* Theodore",Level 2  Government Building,Corner Roseberry Street and Oaka Lane,Gladstone,4680,PO Box 836,,Gladstone,4680
Gympie,Gympie,Probation and Parole Office,"State Government Building  
Corner Lawrence and Mellor Street  
Gympie QLD 4570","PO Box 1225  
Gympie QLD 4570",-26.188084,152.667461,5480 5400,5480 5409,73400,N/A,State Government Building,Corner Lawrence and Mellor Street,Gympie,4570,PO Box 1225,,Gympie,4570
Hervey Bay,Hervey Bay,Probation and Parole Office,"Ground floor  
Brendan Hansen Building  
50-54 Main Street  
Hervey Bay QLD 4655","PO Box 965  
Hervey Bay QLD 4655",-25.285053,152.839279,4125 9200,4125 9209,25900,"* Goomeri
* Howard
* Kilkivan
* Kumbia
* Maryborough
* Tiaro",Ground floor  Brendan Hansen Building,50-54 Main Street,Hervey Bay,4655,PO Box 965,,Hervey Bay,4655
Inala,Inala,Probation and Parole Office,"Shop 12-14  
Hoa Binh Arcade  
Inala Civic Centre  
Corsair Avenue  
Inala QLD 4077","PO Box 330  
Inala QLD 4077",-27.599457,152.975062,3362 9270,3362 9288,29270,N/A,Shop 12-14  Hoa Binh Arcade  Inala Civic Centre,Corsair Avenue,Inala,4077,PO Box 330,,Inala,4077
Innisfail,Innisfail,Probation and Parole Office,"14 Glady Street  
Innisfail QLD 4860","PO Box 1110  
Innisfail QLD 4860",-17.525847,146.02655,4048 3344,4061 6321,24344,"* Babinda
* El Arish
* Malanda
* Mission Beach
* Silkwood
* Tully
* Yarrabah",14 Glady Street,,Innisfail,4860,PO Box 1110,,Innisfail,4860
Ipswich,Ipswich,Probation and Parole Office,"265 Brisbane Street  
Ipswich QLD 4305","PO Box 317  
Ipswich QLD 4305",-27.614992,152.753105,3819 7800,3280 1058,61814,"* Boonah
* Esk
* Gatton
* Goodna
* Harrisville
* Laidley
* Lowood
* Marburg
* Rosewood
* Toogoolowah",265 Brisbane Street,,Ipswich,4305,PO Box 317,,Ipswich,4305
Kingaroy,Kingaroy,Probation and Parole Office,"3/16 Alford Street  
Kingaroy QLD 4610","PO Box 1004  
Kingaroy QLD 4610",-26.540837,151.838676,4164 0210,4162 5161,24210,"* Blackbutt
* Cherbourg
* Murgon
* Nanango
* Proston
* Wondai
* Yarraman",3/16 Alford Street,,Kingaroy,4610,PO Box 1004,,Kingaroy,4610
Logan City,Logan City,Probation and Parole Office,"6 Ewing Road  
Woodridge QLD 4114","PO Box 450  
Woodridge QLD 4114",-27.639299,153.107585,3884 9688,3884 9651,49688,N/A,6 Ewing Road,,Woodridge,4114,PO Box 450,,Woodridge,4114
Mackay,Mackay,Probation and Parole Office,"State Government Building  
44 Nelson Street  
Mackay QLD 4740","PO Box 993  
Mackay QLD 4740",-21.141861,149.181367,4967 0740,4967 0882,80740,"* Bowen
* Calen
* Cannonvale
* Carmilla
* Collinsville
* Eton
* Finch Hatton
* Marian
* Mirani
* Nebo
* Proserpine
* Sarina
* St. Lawrence
* Walkerstone",State Government Building,44 Nelson Street,Mackay,4740,PO Box 993,,Mackay,4740
Mareeba,Mareeba,Probation and Parole Office,"222 Byrnes Street  
Mareeba QLD 4880","PO Box 146  
Mareeba QLD 4880",-16.996245,145.422684,4048 4777,4092 4026,,"* Atherton
* Chillagoe
* Croydon
* Dimbulah
* Einasleigh
* Forsayth
* Georgetown
* Herberton
* Kuranda
* Millaa Millaa
* Mt. Garnet
* Mt. Molloy
* Ravenshoe
* Yungaburra",222 Byrnes Street,,Mareeba,4880,PO Box 146,,Mareeba,4880
Maroochydore,Maroochydore,Probation and Parole Office,"Level 3 Cornmeal House  
27 Cornmeal Parade  
Maroochydore QLD 4558","PO Box 604  
Maroochydore QLD 4558",-26.654011,153.091446,5470 8030,5470 8053,88030,"* Caloundra
* Landsborough
* Nambour
* Noosa",Level 3 Cornmeal House,27 Cornmeal Parade,Maroochydore,4558,PO Box 604,,Maroochydore,4558
Mount Gravatt,Mount Gravatt,Probation and Parole Office,"Level 1  
33 Sanders Street  
Upper Mt Gravatt QLD 4122","PO Box 2335  
Mansfield QLD 4122",-27.558182,153.081658,3243 8500,3243 8511,35500,N/A,Level 1,33 Sanders Street,Upper Mt Gravatt,4122,PO Box 2335,,Mansfield,4122
Mount Isa,Mount Isa,Probation and Parole Office,"8 Miles Street  
Mount Isa QLD 4825","8 Miles Street  
Mount Isa QLD 4825",-20.727574,139.491841,4747 2044,4747 2147,32044,"* Bedourie
* Bindungu
* Birdsville
* Boulia
* Burketown
* Camooweal
* Cloncurry
* Dajarra
* Doomadgee
* Gregory Downs
* Julia Creek
* Karumba
* Kash
* Kyuna
* Mackinlay
* Mornington Island
* Normanton",8 Miles Street,,Mount Isa,4825,8 Miles Street,,Mount Isa,4825
Office of the Commissioner,Office of the Commissioner,Head office,"Level 24  
State Law Building  
50 Ann Street  
Brisbane QLD 4000","GPO Box 1054  
Brisbane QLD 4001",-27.468858,153.021921,3239 3979,3211 7384,,N/A,Level 24  State Law Building,50 Ann Street,Brisbane,4000,GPO Box 1054,,Brisbane,4001
Pine Rivers,Pine Rivers,Probation and Parole Office,"Level 1199 Gympie Road  
Strathpine QLD 4500","PO Box 2141  
Strathpine Centre QLD 4500",-27.310857,152.992878,3384 8201,3384 8208,,* Petrie,Level 1199 Gympie Road,,Strathpine,4500,PO Box 2141,,Strathpine Centre,4500
Redcliffe,Redcliffe,Probation and Parole Office,"63 High Street  
Kippa Ring QLD 4021","PO Box 490  
Kippa-Ring QLD 4021",-27.22667,153.090367,3884 1322,3884 1311,,* Macleay Island,63 High Street,,Kippa Ring,4021,PO Box 490,,Kippa-Ring,4021
Redlands,Redlands,Probation and Parole Office,"Shop 8  
194-200 Old Cleveland Road  
Capalaba QLD 4157","PO Box 486  
Capalaba DC QLD 4157",-27.520253,153.1991,3245 0244,3823 3875,,N/A,Shop 8,194-200 Old Cleveland Road,Capalaba,4157,PO Box 486,,Capalaba DC,4157
Rockhampton,Rockhampton,Probation and Parole Office,"Ground floor    
State Government Building   
209 Bolsover Street   
Rockhampton QLD 4700","PO Box 915  
Rockhampton QLD 4700",-23.381493,150.514669,4938 4711,4938 4547,84711,"* Baralaba
* Duaringa
* Isisford
* Mt. Morgan
* Woorabinda
* Wowan
* Yeppoon",Ground floor    State Government Building ,209 Bolsover Street ,Rockhampton,4700,PO Box 915,,Rockhampton,4700
Roma,Roma,Probation and Parole Office,"44-46 Bungil Street  
Roma QLD 4455","PO Box 558  
Roma QLD 4455",-26.569984,148.790492,4624 3020,4624 3028,23020,"* Adavale
* Augathella
* Bolon
* Charleville
* Cunnamulla
* Dirranbandi
* Dulacca
* Eromanga
* Eulo
* Hungerforde
* Injune
* Mitchell  
* Mungindi
* Quilpie
* St. George
* Surat
* Talwood
* Tambo
* Thallon
* Thargomindah
* Wallumbilla
* Wyandra
* Yuleba",44-46 Bungil Street,,Roma,4455,PO Box 558,,Roma,4455
Southport,Southport,Probation and Parole Office,"4/83 Scarborough Street  
Southport QLD 4215","PO Box 476  
Southport QLD 4215",-27.968031,153.41516,5583 5555,5583 5552,85555,N/A,4/83 Scarborough Street,,Southport,4215,PO Box 476,,Southport,4215
Thuringowa,Thuringowa,Probation and Parole Office,"Kirwan Plaza  
40 Thuringowa Drive  
Thuringowa QLD 4817","PO Box 650  
Kirwan QLD 4817",-19.312893,146.729093,4760 9822,4760 9846,29822,N/A,Kirwan Plaza,40 Thuringowa Drive,Thuringowa,4817,PO Box 650,,Kirwan,4817
Thursday Island,Thursday Island,Probation and Parole Office,"37 Douglas Street  
Thursday Island QLD 4875","PO Box 1011  
Thursday Island QLD 4875",-10.584221,142.220344,4090 2048,4090 2061,,"* Bamaga
* Horn Island
* Injinoo
* New Mapoon
* Outer Islands - Torres Strait
* Seisia
* Torres - other islands
* Umagico",37 Douglas Street,,Thursday Island,4875,PO Box 1011,,Thursday Island,4875
Toowoomba,Toowoomba,Probation and Parole Office,"171 Hume Street  
Toowoomba QLD 4350","PO Box 559  
Toowoomba QLD 4350",-27.564096,151.956912,4616 1600,4616 1620,65600,"* Allora
* Bell
* Cambooya
* Cecil Plains
* Chinchilla
* Clifton
* Cooyar
* Crows Nest
* Dalby
* Goombungee
* Goondiwindi
* Helidon
* Inglewood
* Jandowae
* Jondaryn
* Killarney
* Meandarra
* Miles
* Millmerran
* Morven
* Oakey
* Peranga
* Pittsworth
* Stanthorpe
* Tara
* Taroom
* Texas
* Wandoan
* Warwick
* Yelarbon",171 Hume Street,,Toowoomba,4350,PO Box 559,,Toowoomba,4350
Townsville,Townsville,Probation and Parole Office,"Level 1  
Commonwealth Building  
143 Walker Street  
Townsville QLD 4810","PO Box 606  
Townsville QLD 4810",-19.258964,146.813892,4760 7589,4760 7588,97568,"* Ayr
* Charters Towers
* Giru
* Greenvale
* Halifax
* Home Hill
* Hughenden
* Ingham
* Palm Island
* Pentland
* Prairie
* Richmond
* Torrens Creek",Level 1  Commonwealth Building,143 Walker Street,Townsville,4810,PO Box 606,,Townsville,4810
Wynnum,Wynnum,Probation and Parole Office,"Unit 4, Ground Floor  
63 Bay Terrace  
Wynnum QLD 4178","PO Box 242  
Wynnum QLD 4178",-27.445274,153.174158,3362 9050,3362 9060,29050,N/A,Level 2  Rosebay House,71 Clara Street,Wynnum,4178,PO Box 242,,Wynnum,4178
