Title,Location,Services,Office type,Counter type,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Agency,Facilities,Description,Operating hours
"Burrum Heads Community Hall","Wide Bay","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"41 Howard Street","","BURRUM HEADS","4659","","","","",-25.185387,152.613325,,,,,,,,,,,,,,9:00-11:00,,,,"",DJAG,"","","Saturday, 9am - 11am"
"Caboolture Courthouse","Caboolture","Volunteer Justice of Peace or Commissioner for Declarations","Service",JP in the community program,"Ground floor registry","30 King Street","CABOOLTURE","4510","","","","",-27.0834686,152.9516891,(07) 5431 2200,,courthouse.Caboolture@justice.qld.gov.au,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,"",DJAG,"","","Monday to Friday, 10am - 2pm"
"Caboolture Library","Caboolture","Volunteer Justice of Peace or Commissioner for Declarations","Service",JP in the community program,"4 Hasking Street","","CABOOLTURE","4510","","","","",-27.083668,152.951261,(07) 5433 2000,,,,,,,,,,16:00-18:00,,,10:00,12:00,,,"",DJAG,"","","Thursday, 4 - 6pm, Saturday, 10am - 12pm"
"Cairns Central Shopping Centre","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"1st floor, shop 91, near Best & Less","Cnr Mcleod & Spence Streets","CAIRNS","4870","","","","",-16.925341,145.772083,(07) 4041 4111,,,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,10:00-12:00,12:00-18:00,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,,,"",DJAG,"","","Monday to Saturday, 10am - 2pm and Thrusday 10am - 6pm"
"Cairns Courthouse","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground floor registry","5 Sheridan Street","CAIRNS","4870","","","","",-16.927362,145.775936,(07) 4039 8900,,,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,10:00-12:00,12:00-14:00,,,,,"",DJAG,"","","Monday to Friday, 10am - 2pm"
"Cairns Direct Factory Outlet (DFO)","North Queensland","Volunteer Justice of the Peace or Commissioner for Declarations","Service",JP in the community program,"near Terry White Chemmart","274 Mulgrave Road","WESTCOURT","4870","","","","",-16.935288,145.753400,(07) 4051 7444,,,,,,,10:00,14:00,,,,,10:00,14:00,,,"",DJAG,"","","Wednesday & Saturday, 10am - 2pm"
"Calamvale Shopping Centre","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"near Big W","662-668 Compton Road","CALAMVALE","4116","","","","",-27.611831,153.054228,(07) 3711 2705,,,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,,,"",DJAG,"","","Monday, Wednesday and Friday, 10am - 2pm"
"Caloundra Courthouse","Sunshine Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground floor registry","3 Gregson Place","CALOUNDRA","4551","","","","",-26.801497,153.118574,(07) 5420 9000,,,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,"",DJAG,"","","Monday to Friday, 9am - 4pm"
"Caloundra Library","Sunshine Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Information desk","Omrah Avenue","CALOUNDRA","4551","","","","",-26.803824,153.13125,07 5475 8989,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,14:30,,,"",DJAG,"","","Monday to Friday, 9am - 5pm; Saturday, 9am - 2:30pm"
"Caneland Central - Mackay","Central Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Level 1 between Myer and Lava Carts","Cnr Victoria Street & Mangrove Road","MACKAY","4740","","","","",-21.139838,149.178334,(07) 4944 7111,,,,,09:00-12:00,,,,09:00-12:00,17:30-20:30,09:00-12:00,,09:00-12:00,,,,"",DJAG,"","","Tuesday, Thursday, Friday and Saturday 9am - 12pm and Thursday, 5:30pm - 8:30pm"
"Cannon Hill Kmart Plaza","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Outside the Go Dollars store","1909 Creek Road","CANNON HILL","4170","","","","",-27.4713496,153.0999006,(07) 3399 3600,,,,,10:00,13:00,,,,18:00-20:00,,,09:00-11:00,,,,"",DJAG,"","","Tuesday, 10am - 1pm, Thursday, 6pm - 8pm and Saturday, 9am - 11am"
"Canungra Library - Information Centre","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Council room","12 Kidston Street","CANUNGRA","4275","","","","",-28.0173054,153.1646321,,,,,,,,,13:00-16:00,,,,,,,,,"",DJAG,"","","Wednesday, 1pm - 4pm"
"Capalaba Central Shopping Centre","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Big W end, opposite Price Line Pharmacy","38 Moreton Bay Road","CAPALABA","4157","","","","",-27.5223491,153.1913229,(07) 3245 8888,,,,,10:00,14:00,,,,18:30-20:00,,,10:00-12:00,,,,"",DJAG,"","","Tuesday, 10am - 2pm, Thursday, 6:30pm - 8pm and Saturday, 10am - 12pm"
"Castletown Townsville - Hyde Park","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Information desk","Cnr Woolcock Rd and Kings Rd","HYDE PARK","4812","","","","",-19.2719206,146.7907457,(07) 4772 1699,,,10:30,14:00,,,,,,14:00-18:00,,,,,,,"",DJAG,"","","Monday, 10:30am-2pm and Thursday, 2pm - 6pm"
"Central Highlands Marketplace","Central Queensland","Volunteer Justice of the Peace or Commissioner for Declarations","Service",JP in the community program,"Ground floor registry","2-10 Codenwarra Road","EMERALD","4720","","","","",-23.524098,148.174875,(07) 4982 1157,,,,,,,,,,16:00-18:00,,,,,,,"",DJAG,"","","Thursday, 4pm - 6pm"
"Charters Towers Courthouse","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","",JP in the community program,"Charters Towers Magistrates Court","26-30 Hodgkinson Street","CHARTERS TOWERS","4820","","","","",-20.077929,146.263093,(07) 4761 5125,,,9:00-12:30,,,,,,,,,,,,,,"",DJAG,"","","Monday, 9:00am - 12:30pm"
"Chermside Shopping Centre","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration. Please note: the Thursday evening service runs on the 2nd & 4th Thursday of each month","Service",JP in the community program,"Outside Medibank","Cnr Gympie and Hamilton Roads","CHERMSIDE","4032","","","","",-27.385957,153.030808,(07) 3117 5300,,,10:00,14:00,10:00,14:00,10:00,14:00,10:00-14:00,18:00-20:00,10:00,14:00,,,,,"",DJAG,"","","Monday to Friday, 10am-2pm; 2nd & 4th Thursday of each month, 6pm-8pm"
"Cleveland Courthouse","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Main registry","5 Middle Street","CLEVELAND","4163","","","","",-27.526928,153.2670055,(07) 3383 0733,,,10:00,13:00,10:00-13:00,14:00-16:00,10:00-13:00,14:00-16:00,10:00-13:00,14:00-16:00,10:00,13:00,,,,,"",DJAG,"","","Monday and Friday, 10am-1pm. Tuesday, Wednesday and Thursday, 10am-1pm and 2pm-4pm"
"Clifford Gardens Shopping Centre","Toowoomba","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Adjacent Terry White Chemist","Cnr Anzac Avenue and James Street","TOOWOOMBA","4350","","","","",-27.566141,151.932625,(07) 4634 1371,,,,,,,,,,17:00-19:00,,,10:00-12:00,,,,"",DJAG,"","","Thursday, 5pm - 7pm and Saturday, 10am - 12pm"
"Club Southport Inc (CSI)","Gold Coast","Volunteer Justices of the Peace or Commissioner for Declarations","Service",JP in the community program,"Inside on the right hand side of the carpark/lift entrance","154a Scarborough Street (northern end)","SOUTHPORT","4215","","","","",-27.963853,153.411321,(07) 5532 9944,,,,16:30-17:30,,,,,,,,,,,,,"",DJAG,"","","Monday, 4:30pm-5:30pm"
"Coolangatta Courthouse","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground floor registry","136 Musgrave Street","COOLANGATTA","4225","","","","",-28.1688448,153.5348045,(07) 5569 3040,,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,,,"",DJAG,"","","Monday to Friday, 9am to 12pm"
"Coolum Library","Sunshine Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Reception","Park Street","COOLUM BEACH","4573","","","","",-26.530501,153.09114,07 5475 8989,,,,,,,09:00-12:00,,,,,,,,,,"",DJAG,"","","Wednesday, 9am - 12pm"
"Cooroy Library","Sunshine Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"ask at info desk","9 Maple Street","COOROY","4563","","","","",-26.418412,152.910005,07 5329 6555,,,,,,12:30-16:00,,,09:30-12:00,,,,,,,,"",DJAG,"","","Tuesday, 12:30pm - 4pm and Thursday, 9:30am - 12pm"
"Dalby Shoppingworld","Toowoomba","Volunteer Justice of Peace or Commissioner of Declaration. Please note: this service operates 2nd Monday of each month and 4th Thursday of each month","Service",JP in the community program,"Outside Heritage Building Society","17-67 Cunningham Street","DALBY","4405","","","","",-27.18139,151.266778,(07) 4662 2577,,,11:00,14:00,,,,,,,,,,,,,"",DJAG,"","","2nd Monday of each month, 11am - 2pm"
"Deception Bay Shopping Centre","Caboolture","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the Community,"Adjacent to Dimmeys","Cnr Deception Bay Rd and Bay Ave","DECEPTION BAY","4508","","","","",-27.196705,153.029659,(07) 3204 7144,,,9:00,13:00,9:00,13:00,9:00,13:00,9:00,13:00,9:00,13:00,9:00,13:00,,,"",DJAG,"","","Monday to Saturday, 9am - 1pm"
"Edmonton PCYC","North Queensland","Volunteer Justice of the Peace or Commissioner for Declarations; Every 2nd and 4th Thursday of the month, 3pm-7pm","",JP in the community program,"10-20 Walker Road","","EDMONTON","4869","","","","",-17.018793,145.72844,07 4045 6540,,,,,,,,,,17:00-19:00,,,,,,,"",DJAG,"","","Every 2nd and 4th Thursday of the month, 5pm-7pm"
"Emerald Courthouse","Central Queensland","Volunteer Justice of the Peace or Commissioner for Declarations","Service",JP in the community program,"Ground floor registry","Egerton Street","EMERALD","4720","","","","",-23.525729,148.161539,(07) 4982 1877,,,10:00-13:00,,,,,,,,,,,,,,"",DJAG,"","","Monday, 10am - 1pm"
"Everton Park Library","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"561 South Pine Rd","","EVERTON PARK","4053","","","","",-27.405336,152.990416,(07) 3403 7400,,,,,,,,,,16:00-18:00,,,,,,,"",DJAG,"","","Thursday, 4pm-6pm"
"Fairfield Central Shopping Centre","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Opposite Australia Post and Massage Zone","2-30 Lakeside Drive","IDALIA","4811","","","","",-19.315594,146.81738,(07) 4778 4249,,,,,,,09:00-12:00,,,,,,9:00-12:00,,,,"",DJAG,"","","Wednesday and Saturday, 9am - 12pm"
"Fairfield Gardens","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Near Dollars and Sense","180 Fairfield Road","FAIRFIELD","4103","","","","",-27.508752,153.025501,(07) 3812 2695,,,,,,,,,,17:30-19:30,,,10:00-12:00,,,,"",DJAG,"","","Thursday, 5:30pm-7:30pm and Saturday, 10am-12pm"
"Family Court Brisbane","Brisbane City","Volunteer Justice of the Peace or Commissioner for Declaration. Hours of service vary daily, please phone before attending.","Service",JP in the community,"Cnr North Quay and Tank Streets","(Entrance via Tank Street)","BRISBANE","4000","","","","",-27.468426,153.019921,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,,"",DJAG,"","","Monday to Friday 9am-2pm Note this service is for Family Court matters only. Hours of service may vary daily."
"Forest Lake Village","Brisbane - West","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Near Gloria Jeans","235 Forest Lake Boulevard","FOREST LAKE","4078","","","","",-27.625045,152.968311,(07) 3278 8999,,,,,,12:00-14:00,,,,18:30-20:00,,,09:30-11:30,,,,"",DJAG,"","","Tuesday, 12pm - 2pm, Thursday, 6:30pm - 8pm and Saturday 9am - 11:30am."
"Gatton Library","Ipswich","Volunteer Justice of the Peace and Comissioner for Declarations","Service",JP in the community program,"Lockyer Valley Cultural Centre","34 Lake Apex Drive","GATTON","4343","","","","",-27.556788,152.277041,(07) 5466 3434,,,10:00-12:00,,,,,,,,,,9:00-10:00,,,,"",DJAG,"","","Mondays, 10am-12pm and Saturdays, 9am-10am (public holidays excepted)"
"Gatton Queensland Government Centre","Toowoomba","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"7 William Street","","GATTON","4343","","","","",-27.556605,152.278833,(07) 5462 1155,,,,13:00-16:00,,13:00-16:00,,13:00-16:00,,13:00-16:00,,13:00-16:00,,,,,"",DJAG,"","","Monday to Friday, 1pm to 4pm"
"Gladstone Courthouse","Central Queensland","Volunteer Justice of the Peace or Commissioner for Declarations","Service",JP in the community program,"Ground floor registry","14 Yaroon Street","GLADSTONE","4680","","","","",-23.839669,151.254952,(07) 4971 2423,,courthouse.gladstone@justice.qld.gov.au,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,,,,,"",DJAG,"","","Monday to Friday, 11am - 3pm"
"Gordonvale Community Hub","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration. Please note: this service operates on the 2nd Thursday of each month","Service",JP in the community program,"17-19 Cannon Street","","GORDONVALE","4865","","","","",-17.09314,145.7857447,0434 510 333,,,,,,,,,11:00,13:00,,,,,,,"",DJAG,"","","Every second Thursday of each month, 11am - 1pm"
"Grand Central - Toowoomba","Toowoomba","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Information Desk","Cnr Margaret & Dent Street","TOOWOOMBA","4350","","","","",-27.561405,151.948965,1800 638 855,,,,,,,,,,15:00-19:00,,,09:00-11:00,,,,"",DJAG,"","","Thursday, 3pm - 7pm and Saturday 9am - 11am"
"Grand Plaza - Browns Plains","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Adjacent to St George Bank","Cnr Mount Lindesay Highway and Browns Plains Road","BROWNS PLAINS","4118","","","","",-27.6608,153.03822,(07) 3809 4299,,,,,,,,,,17:00-19:00,,,09:00-11:00,,,,"",DJAG,"","","Thursday, 5pm - 7pm and Saturday, 9am - 11am"
"Great Western Super Centre - Keperra","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Located behind Australia Post","1028 Samford Road","KEPERRA","4054","","","","",-27.416588,152.949588,(07) 3851 3800,,,,,,,10:00-12:00,,,17:00-19:00,10:00-12:00,,10:00-12:00,,,,"",DJAG,"","","Wednesday, Friday and Saturday, 10am - 12pm and Thursday, 5pm - 7pm"
"Greenslopes Mall","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Centre of upper level","700 Logan Road","GREENSLOPES","4120","","","","",-27.512325,153.053305,(07) 3394 2244,,,,,,,,,10:00,12:00,,,10:00,12:00,,,"",DJAG,"","","Thursday & Saturday, 10am - 12pm"
"Griffith University - Mount Gravatt","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Room 2.127 Arts and Music M09","176 Messines Ridge Road","MOUNT GRAVATT","4122","","","","",-27.54337,153.067521,(07) 3735 6826,,,,,11:00,13:00,,,,,,,,,,,"",DJAG,"","","Tuesday, 11am - 1pm (February to November)"
"Griffith University - Nathan","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Student Services","Sewell building (N12), Kessels Road","NATHAN","4111","","","","",-27.551727,153.053938,(07) 3735 7254,,,11:00,13:00,,,11:00,13:00,,,11:00,13:00,,,,,"",DJAG,"","","Monday, Wednesday and Friday, 11am - 1pm (February to November)"
"Griffith University Gold Coast - Southport","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration.","Service",JP in the community program,"Building G07 (The Link) Student Guild office","Parklands Drive","SOUTHPORT","4215","","","","",-27.9612441,153.3821091,(07) 5552 8724,,,,,11:00,13:00,11:00,13:00,,,,,,,,,"",DJAG,"","","Tuesday and Wednesday, 11am - 1pm"
