Title,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services 
Maryborough Housing Service Centre,,116 Lennox Street,Maryborough,4650,,,,,-25.539681,152.354064,"- (07) 4324 8600
- 1800 623 242
- 1300 137 687 (maintenance enquiries)",(07) 4121 1775,maryboroughhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Toowoomba and South West Housing Service Centre,Level 2 Condamine Centre,10 Russell Street,Toowoomba,4350,,,,,-27.559466,151.954853,"- (07) 4699 4400
- 1800 623 435
- 1300 650 915 (maintenance enquiries)",(07) 4615 3679,toowoombahsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Ipswich Housing Service Centre,"Upper Ground Floor, ICON Tower",117 Brisbane Street,Ipswich,4305,PO Box 263,,Ipswich,4305,-27.614085,152.762082,"- (07) 3437 6000
- 1800 636 390
- (07) 3280 1778 (maintenance enquiries)",(07) 3202 4942,ipswichhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Fortitude Valley Housing Service Centre,,505 St Pauls Terrace,Fortitude Valley,4006,,,,,-27.45386,153.034416,"- (07) 3034 6500
- (07) 3872 0303 (maintenance enquiries)",(07) 3872 0366,fortitudevalleyhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Chermside Housing Service Centre,,"Level 3, 18 Banfield Street",Chermside,4032,,,,,-27.381299,153.030764,"- (07) 3917 4600
- (07) 3896 9973 (maintenance enquiries)",(07) 3896 9904,chermsidehsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Buranda Housing Service Centre,,"Level 1, 221 Logan Road",Buranda,4102,,,,,-27.496579,153.040391,"- (07) 3873 7700
- (07) 3873 7700 (maintenance enquiries select option 1)",(07) 3405 5324,burandahsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Inala Housing Service Centre,,14 Wirraway Parade,Inala,4077,,,,,-27.601393,152.974654,"- (07) 3723 2000
- (07) 3362 9230 (maintenance enquiries)",(07) 3362 9220,inalahsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Bayside Housing Service Centre,,"Shop 3, 8-12 Dollery Road",Capalaba,4157,,,,,-27.52151,153.191483,"- (07) 3034 9800
- (07) 3034 9891 (maintenance enquiries)",(07) 3362 9104,baysidehsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Gold Coast Housing Service Centre,Shop 80 Bazaar Street,Robina Town Centre,Robina,4230,,,,,-28.070145,153.376411,"- (07) 5645 8100 
- 1300 650 917 (maintenance enquiries)",(07) 5583 2242,goldcoasthsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Logan Housing Service Centre,,11-13 Station Road,Woodridge,4114,,,,,-27.639187,153.106305,"- (07) 3086 3700; 
- (07) 3086 3740 (maintenance enquiries)",(07) 3884 9830,loganhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Moreton Bay Housing Service Centre,"Level 5, Caboolture Square Shopping Centre",60-78 King Street,Caboolture,4510,,,,,-27.084958,152.948498,"- (07) 5432 0700
- (07) 5432 0700 (maintenance enquiries select option 1)",(07) 5431 2505,moretonbayhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,,
