Office,Service_Type,Address_StreetNumber_StreetName,Address_Suburb,Address_Postcode,Address_State,Postal_Address_PostBox_or_StreetNumber_StreetName,Postal_Address_Suburb,Postal_Address_Postcode,Postal_Address_State,Phone,Fax,Other,TTY,TIS,Twitter,Region,Email,Latitude,Longitude
Foster and Kinship Carer Card,Child Safety Services,(blank),(blank),(blank),(blank),Foster and Kinship Carer Card  GPO Box 806 ,Brisbane,4001,QLD,07 3247 3721,(blank),1800 811  732,(blank),(blank),(blank),Brisbane, fostercarercard@childsafety.qld.gov.au ,,
Foster and Kinship carer support line ,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),1300 729 309,(blank),(blank),(blank),Brisbane,(blank),,
Playground Profiles,Disability Services,(blank),(blank),(blank),(blank),"Disability Program Planning, Design and Procurement Disability Services GPO Box 806",Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,engagement@communities.qld.gov.au,,
Queensland Disability Awards,Disability Services,(blank),(blank),(blank),(blank),GPO Box 806,Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),@disabilityqld,Brisbane,engagement@communities.qld.gov.au,,
Queensland Disability Advisory Council Secretariat,Disability Services,(blank),(blank),(blank),(blank),GPO Box 806,Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,engagement@communities.qld.gov.au,,
Office for Women,Office for Women,(blank),(blank),(blank),(blank),GPO Box 806,Brisbane,4001,QLD,(blank),07 3224 4272,1800 177 577,(blank),(blank),(blank),Brisbane,info@women.qld.gov.au,,
Queensland Disability Advisory Council secretariat,Disability Services,(blank),(blank),(blank),(blank),GPO Box 806,Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,engagement@communities.qld.gov.au,,
Queensland Disability Awards,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,QDA2014@disability.qld.gov.au,,
Disability Action Week,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),@disabilityqld,Brisbane,(blank),,
Queensland Companion Card (Public enquiries),Community Support,(blank),(blank),(blank),(blank),Card Services Reply Paid 52 ,Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,cardservices@smartservice.qld.gov.au,,
Queensland Companion Card (Business enquiries),Community Support,(blank),(blank),(blank),(blank),Card Services Reply Paid 52 ,Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,cardservices@smartservice.qld.gov.au,,
Office for Youth,Community Services,"Level 4B, Neville Bonner Building, 75 William St,",Brisbane,4000,Qld,GPO Box 806,Brisbane,4001,QLD,07 3008 8782,(blank),(blank),(blank),(blank),(blank),Brisbane,(blank),-27.47421202,153.0249456
Community Safety and Individual Support Team,Community Services,(blank),(blank),(blank),(blank),GPO Box 806 ,Brisbane,4001,QLD,07 3224 4491,07 3404 3528,(blank),(blank),(blank),(blank),Brisbane,(blank),,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Criminal History Screening,Corporate Services,(blank),(blank),(blank),(blank),PO Box 10179,Brisbane Adelaide Street ,4000,QLD,(blank),(blank),1800 183 690,(blank),(blank),(blank),Brisbane,criminalhistoryscreening@disability.qld.gov.au,,
Bundaberg Child Safety Service Centre,Child Safety Services,"Level 1, Queensland Government Building, 46 Quay Street ",Bundaberg ,4670,QLD,PO Box 1047,Bundaberg,4670,QLD,07 4131 5517,07 4131 5612,(blank),(blank),(blank),(blank),Central Queensland,(blank),-24.86575115,152.3468367
Emerald Child Safety Service Centre,Child Safety Services,51 Ruby Street,Emerald,4720,QLD,PO Box 554,Emerald,4720,QLD,07 4983 7500,07 4982 4113,(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.52261695,148.1589116
Gladstone Child Safety Service Centre,Child Safety Services,162 Goondoon Street,Gladstone,4680,QLD,PO Box 536,Gladstone,4680,QLD,07 4979 6514,07 4972 6051,(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.84603557,151.2581032
Maryborough Child Safety Service Centre,Child Safety Services,161 Bazaar Street,Maryborough,4650,QLD,PO Box 467,Maryborough,4650,QLD,07 4190 4560,07 4190 4599,(blank),(blank),(blank),(blank),Central Queensland,(blank),-25.53948519,152.7029856
Rockhampton Child Safety Service Centre,Child Safety Services,"Ground Floor, 36 East Street",Rockhampton,4700,QLD,PO Box 108,Rockhampton,4700,QLD,07 4938 4765,07 4938 4957,(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.37647463,150.5116466
South Burnett Child Safety Service Centre,Child Safety Services,180-182 Haly Street,Kingaroy,4610,QLD,PO Box 1181,Kingaroy,4610,QLD,07 4164 9400,07 4162 3529,(blank),(blank),(blank),(blank),Central Queensland,(blank),-26.53855658,151.8379842
Woorabinda Child Safety Service Centre (This is not a permanently manned Centre),Child Safety Services,Carbine Street,Woorabinda,4713,Qld,PO Box 1163,Rockhampton,4700,QLD,07 4925 9024,07 4925 9012,(blank),(blank),(blank),(blank),Central Queensland,(blank),-24.13202921,149.4575064
Alderley Child Safety Service Centre,Child Safety Services,"Level 1, 467 Enoggera Road",Alderley,4051,QLD,PO Box 85,Kelvin Grove,4059,QLD,07 3247 7888,07 3247 7820,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.42570902,153.0017811
Chermside Child Safety Service Centre,Child Safety Services,"Ground level, Commonwealth Centre, 18 Banfield Street",Chermside,4032,QLD,PO Box 2377,Chermside Centre,4032,QLD,07 3513 3700,07 3513 3746,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.38127836,153.0312792
Forest Lake Child Safety Service Centre,Child Safety Services,"Shop M, 255 Forest Lake Boulevard",Forest Lake,4078,QLD,PO Box 4516,Forest Lake,4078,QLD,07 3723 6100,07 3879 6803,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.62655506,152.9700148
Fortitude Valley Child Safety Service Centre,Child Safety Services,"Ground level, 503-505 St Pauls Terrace",Fortitude Valley,4006,QLD,PO Box 628,Fortitude Valley,4006,QLD,07 3406 5222,07 3406 5211,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.45437181,153.0352336
Inala Child Safety Service Centre,Child Safety Services,"Commonwealth Building, 20 Wirraway Parade",Inala,4077,QLD,PO Box 48,Inala,4077,QLD,07 3710 1800,07 3710 1811,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.60159024,152.9742843
Mount Gravatt Child Safety Service Centre,Child Safety Services,"Level 1, Block A Garden Square Complex 643 Kessels Road",Upper Mt Gravatt,4122,QLD,PO Box 6038,Upper Mt Gravatt,4122,QLD,07 3434 1200,07 3243 8599,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.56103304,153.0780283
Stones Corner Child Safety Service Centre,Child Safety Services,441 Logan Road,Stones Corner,4120,QLD,PO Box 120,Stones Corner,4120,QLD,07 3324 5400,07 3324 5433,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.50196306,153.0462201
Atherton Child Safety Service Centre,Child Safety Services,34 Mabel Street,Atherton,4883,QLD,PO Box 151,Atherton,4883,QLD,07 4091 9250,07 4091 9287,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.26620868,145.4775841
Cairns North Child Safety Service Centre,Child Safety Services,107 Lake Street,Cairns,4870,QLD,PO Box 7513,Cairns,4870,QLD,07 4052 9500,07 4041 7854,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.92221299,145.7748372
Cairns South Edmonton Child Safety Service Centre,Child Safety Services,1 Ravizza Drive,Edmonton,4869,QLD,PO Box 897,Edmonton,4869,QLD,07 4040 8000,07 4055 4235,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.01890198,145.7426077
Cape York South Child Safety Service Centre,Child Safety Services,"Level 3, 65-67 Spence St, CitiCentral Building",Cairns,4870,QLD,(blank),(blank),(blank),(blank),07 4039 8953,(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.9258865,145.7751993
Cape York North and Torres Strait Islands Child Safety Service Centre,Child Safety Services,"Level 1, 5B Sheridan St, William McCormack Place 1",Cairns,4870,QLD,(blank),(blank),(blank),(blank),07 4036 5325,(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.92737832,145.7759293
Cooktown Child Safety Service Centre,Child Safety Services,"Level 2, 112 Charlotte Street",Cooktown,4895,QLD,PO Box 75,Cooktown,4895,QLD,07 4082 2100,07 4069 6314,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-15.46839943,145.2493841
Innisfail Child Safety Service Centre,Child Safety Services,31 Glady Street,Innisfail,4860,QLD,PO Box 111,Innisfail,4860,QLD,07 4078 1333,07 4048 3740,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.52527145,146.0274722
Thursday Island Child Safety Service Centre,Child Safety Services,37 Douglas Street,Thursday Island,4875,QLD,PO Box 740,Thursday Island,4875,QLD,07 4212 1101,07 4090 3782,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-10.58425732,142.2208702
Weipa Child Safety Service Centre,Child Safety Services,2 Commercial Road,"Nanum, Weipa",4874,QLD,PO Box 20, Weipa,4874,QLD,07 4082 4401,07 4069 7348,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-12.63805048,141.8628479
Caboolture Child Safety Service Centre,Child Safety Services,"Level 2, 33 King Street (Cnr Beerburrum St)",Caboolture,4510,QLD,PO Box 954,Caboolture,4510,QLD,07 5490 1000,07 5499 2231,(blank),(blank),(blank),(blank),North Coast,(blank),-27.08430237,152.9513417
Caloundra Child Safety Service Centre,Child Safety Services,129 Bulcock Street,Caloundra,4551,QLD,PO Box 1144,Caloundra,4551,QLD,07 5420 9090,07 5420 9089,(blank),(blank),(blank),(blank),North Coast,(blank),-26.80413872,153.1271607
Gympie Child Safety Service Centre,Child Safety Services,26 Duke Street,Gympie,4570,QLD,26 Duke Street ,Gympie,4570,QLD,07 5482 4177,07 5482 3668,(blank),(blank),(blank),(blank),North Coast,(blank),-26.18762677,152.6575565
Maroochydore Child Safety Service Centre,Child Safety Services,15 Beach Road,Maroochydore,4558,QLD,PO Box 213,Maroochydore,4558,QLD,07 5453 1888,07 5453 1899,(blank),(blank),(blank),(blank),North Coast,(blank),-26.65103585,153.088981
Redcliffe Child Safety Service Centre,Child Safety Services,59 High Street,Kippa-Ring,4021,QLD,PO Box 464,Kippa-Ring,4021,QLD,07 3884 1388,07 3884 1377,(blank),(blank),(blank),(blank),North Coast,(blank),-27.22649308,153.0906605
Strathpine Child Safety Service Centre,Child Safety Services,"Level 1, 328 Gympie Road",Strathpine,4500,QLD,PO Box 2184,Strathpine Centre,4500,QLD,07 3881 7600,07 3889 7155,(blank),(blank),(blank),(blank),North Coast,(blank),-27.306151,152.988847
Aitkenvale Child Safety Service Centre,Child Safety Services,71-77 Patrick Street,Aitkenvale,4814,QLD,PO Box 246,Aitkenvale BC,4814,QLD,07 4799 5201,07 4725 4260,(blank),(blank),(blank),(blank),North Queensland,(blank),-19.29798745,146.7669709
Bowen Child Safety Service Centre,Child Safety Services,60-62 Williams Street,Bowen,4805,QLD,PO Box 656,Bowen,4805,QLD,07 4761 3740,07 4761 3764,(blank),(blank),(blank),(blank),North Queensland,(blank),-20.01491269,148.2432243
Doomadgee Child Safety Service Centre (This is not a permanently manned centre),Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),QLD,07 4747 3401,(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),,
Gulf Child Safety Service Centre,Child Safety Services,"Suite 1a, Mt Isa House, 119 Camooweal Street",Mount Isa,4825,QLD,PO Box 617,Mount Isa,4825,QLD,07 4747 3401,07 4747 2375,(blank),(blank),(blank),(blank),North Queensland,(blank),-20.72254921,139.4927895
Mackay Child Safety Service Centre,Child Safety Services,110 Wood Street,Mackay,4740,QLD,PO Box 790,Mackay,4740,QLD,07 4967 2344,07 4967 2352,(blank),(blank),(blank),(blank),North Queensland,(blank),-21.14389099,149.1850942
Mt Isa Child Safety Service Centre,Child Safety Services,"Suite 1a, Mt Isa House, 119 Camooweal Street",Mount Isa,4825,QLD,PO Box 617,Mount Isa,4825,QLD,07 4747 3401,07 4747 3455,(blank),(blank),(blank),(blank),North Queensland,(blank),-20.72254921,139.4927895
Mornington Island Child Safety Service Centre,Child Safety Services,"Lot 305, Lardil Street Mornington Island",Wellesley Islands,4871,QLD,PO Box 617,Mount Isa,4825,QLD,07 4745 7109,07 4745 7126,(blank),(blank),(blank),(blank),North Queensland,(blank),-16.66381264,139.1776643
Normanton Child Safety Service Centre,Child Safety Services,Suite 1/36 Landsborough Street,Normanton,4890,QLD,(blank),(blank),(blank),(blank),07 4747 8202,07 4745 1026,(blank),(blank),(blank),(blank),North Queensland,(blank),-17.67571168,141.0727718
Palm Island Child Safety Service Centre (This is not a permanently manned centre),Child Safety Services,(blank),(blank),(blank),(blank),PO Box 5339,Townsville,4810,QLD,07 4791 5116,07 4725 4260,(blank),(blank),(blank),(blank),North Queensland,(blank),,
Thuringowa Child Safety Service Centre,Child Safety Services,39 Blackhawk Boulevard,Thuringowa Central,4817,QLD,PO Box 113,Thuringowa Central,4817,QLD,07 4760 9659,07 4773 7523,(blank),(blank),(blank),(blank),North Queensland,(blank),-19.32192797,146.7201798
Townsville Child Safety Service Centre,Child Safety Services,"State Govt Building, 187-209 Stanley Street",Townsville,4810,QLD,PO Box 5339,Townsville,4810,QLD,07 4799 7900,07 4799 7921,(blank),(blank),(blank),(blank),North Queensland,(blank),-19.25984549,146.814154
Beaudesert Child Safety Service Centre,Child Safety Services,"Shop 12-18, Telemon Place Shopping Centre, 1 Telemon Street",Beaudesert,4285,QLD,PO Box 738,Beaudesert,4285,QLD,07 5542 2000,07 5542 2045,(blank),(blank),(blank),(blank),South East,(blank),-27.98820502,152.9948473
Beenleigh Child Safety Service Centre,Child Safety Services,"Ground level, 100 George Street",Beenleigh,4207,QLD,PO Box 247,Beenleigh,4207,QLD,07 3884 7474,07 38847475,(blank),(blank),(blank),(blank),South East,(blank),-27.71681748,153.204477
Browns Plains Child Safety Service Centre,Child Safety Services,75-87 Grand Plaza Drive,Browns Plains,4118,QLD,PO Box 250,Browns Plains,4118,QLD,07 3441 8500,07 3441 8555,(blank),(blank),(blank),(blank),South East,(blank),-27.66428623,153.0430409
Bayside Child Safety Service Centre ,Child Safety Services,146 Bloomfield Street,Cleveland,4163,QLD,PO Box 352,Cleveland,4163,QLD,07 3383 0750,07 3383 0777,(blank),(blank),(blank),(blank),South East,(blank),-27.52892608,153.267283
Labrador Child Safety Service Centre,Child Safety Services,"Level 1, BRP House, 118 Brisbane Road",Labrador,4215,QLD,PO Box 700,Labrador,4215,QLD,07 5558 7201,07 5558 7269,(blank),(blank),(blank),(blank),South East,(blank),-27.93633098,153.3949051
Logan Central Child Safety Service Centre,Child Safety Services,6 Ewing Road,Woodridge,4114,QLD,PO Box 753,Woodridge,4114,QLD,07 3380 6200,07 3380 6287,(blank),(blank),(blank),(blank),South East,(blank),-27.63934918,153.1072896
Loganlea Child Safety Service Centre,Child Safety Services,1-9 Juers Street,Kingston,4114,QLD,PO Box 21,Kingston,4114,QLD,07 3884 9600,07 3884 9650,(blank),(blank),(blank),(blank),South East,(blank),-27.65980332,153.1170488
Mermaid Beach Child Safety Service Centre,Child Safety Services,"Shop 9, Pacific Square 2532-2540, Gold Coast Highway",Mermaid Beach,4218,QLD,PO Box 138,Mermaid Beach,4218,QLD,07 5562 7800,07 5562 7888,(blank),(blank),(blank),(blank),South East,(blank),-28.04125514,153.4330771
Nerang Child Safety Service Centre,Child Safety Services,24 White Street,Nerang,4211,QLD,PO Box 418,Nerang,4211,QLD,07 5558 1888,07 5558 1899,(blank),(blank),(blank),(blank),South East,(blank),-27.990768,153.3331891
Charleville Child Safety Service Centre,Child Safety Services,86-88 Alfred Street ,Charleville,4470,QLD,PO Box 691,Charleville,4470,QLD,07 4654 2577,07 4654 3124,(blank),(blank),(blank),(blank),South West,(blank),-26.40109538,146.2406912
Springfield Child Safety Service Centre,Child Safety Services,"Level 5, Springfield Towers, 145 Sinnathamby Boulevard",Springfield,4300,QLD,PO Box 4783,Springfield,4300,QLD,07 3437 5291,07 3381 6420,(blank),(blank),(blank),(blank),South West,(blank),-27.68223762,152.8992226
Ipswich North Child Safety Service Centre,Child Safety Services,18-24 Brisbane Street,Ipswich,4305,QLD,PO Box 437,Ipswich,4305,QLD,07 3280 1744,07 3280 1964,(blank),(blank),(blank),(blank),South West,(blank),-27.6155624,152.7639483
Ipswich South Child Safety Service Centre,Child Safety Services,18-24 Brisbane Street,Ipswich,4305,QLD,PO Box 402,Ipswich,4305,QLD,07 3381 7522,07 3884 5881,(blank),(blank),(blank),(blank),South West,(blank),-27.6155624,152.7639483
Roma Child Safety Service Centre,Child Safety Services,95 Arthur Street,Roma,4455,QLD,PO Box 386,Roma,4455,QLD,07 4624 3077,07 4624 3098,(blank),(blank),(blank),(blank),South West,(blank),-26.57496075,148.7886381
Toowoomba North Child Safety Service Centre,Child Safety Services,"Level 1, 128 Margaret Street",Toowoomba,4350,QLD,PO Box 708,Toowoomba,4350,QLD,07 4616 1800,07 4616 1810,(blank),(blank),(blank),(blank),South West,(blank),-27.56180339,151.9567526
Toowoomba South Child Safety Service Centre,Child Safety Services,"Level 1, 128 Margaret Street",Toowoomba,4350,QLD,PO Box 2013,Toowoomba,4350,QLD,07 4687 2950,07 4687 2988,(blank),(blank),(blank),(blank),South West,(blank),-27.56180339,151.9567526
Child Safety Services' Enquiries Unit,Child Safety Services,111 George Street,Brisbane,4000,QLD,GPO Box 806,Brisbane,4001,QLD,07 3224 8045,(blank),1800 811 810 (Qld only),07 3012 8655,(blank),(blank),Brisbane,info@childsafety.qld.gov.au,-27.47245774,153.0256027
Brisbane Region -Child Safety,Child Safety Services,Ground Floor 55 Russell Street,South Brisbane,4101,QLD,PO Box 3022 BC,South Brisbane,4101,QLD,07 3895 3044,07 3895 3040,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.47824014,153.014306
Central Queensland Region - Child Safety and Disability Services,Child Safety Services,Level 3 209 Bolsover Street,Rockhampton,4700,QLD,PO Box 1503,Rockhampton,4700,QLD,07 4938 6996,07 4938 4867,(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.38150723,150.5146771
Far North Queensland Region - Child Safety,Child Safety Services,Level 1 5B Sheridan Street William McCormack Place 1,Cairns,4870,QLD,PO Box 8054,Cairns,4870,QLD,07 4047 5778,07 4036 5349,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.92737832,145.7759293
North Coast Region -Child Safety,Child Safety Services,Level 2 Town Square Precinct 33 King Street (Cnr Beerburrum Road),Caboolture,4510,QLD,(blank),(blank),(blank),(blank),07 5490 1040,07 5499 2235,(blank),(blank),(blank),(blank),North Coast,(blank),-27.08430237,152.9513417
North Queensland Region Child Safety,Child Safety Services,State Government Building 187-209 Stanley Street,Townsville,4810,QLD,PO Box 5941,Townsville,4810,QLD,07 4799 5533,07 4721 1936,(blank),(blank),(blank),(blank),North Queensland,(blank),-19.25984549,146.814154
South East Region - Child Safety,Child Safety Services,Level 1 100 George Street,Beenleigh,4207,QLD,(blank),(blank),(blank),(blank),07 3884 8800,07 3884 8801,(blank),(blank),(blank),(blank),South East,(blank),-27.71681748,153.2044777
South West Region - Child Safety,Child Safety Services,1 Kitchener Street,Toowoomba,4350,QLD,PO Box 2807,Toowoomba,4350,QLD,07 4699 4255,07 4699 4277,(blank),(blank),(blank),(blank),South West,(blank),-27.56247432,151.9586273
Regional Intake Service South East Region,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3884 8801,1300 679 849,(blank),(blank),(blank),South East,info@childsafety.qld.gov.au,,
Regional Intake Service South West Region,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 4616 1796,1300 683 390,(blank),(blank),(blank),South West,info@childsafety.qld.gov.au,,
Regional Intake Service Brisbane Region,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3259 8771,1300 682 254,(blank),(blank),(blank),Brisbane,info@childsafety.qld.gov.au,,
Regional Intake Service North Coast Region,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 5420 9049,1300 703 921,(blank),(blank),(blank),North Coast,info@childsafety.qld.gov.au,,
Regional Intake Service Central Queensland Region,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 4938 4697,1300 703 762,(blank),(blank),(blank),Central Queensland,info@childsafety.qld.gov.au,,
Regional Intake Service North Queensland,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 4799 7273,1300 706 147,(blank),(blank),(blank),North Queensland,info@childsafety.qld.gov.au,,
Regional Intake Service Far North Queensland,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 4039 8320,1300 684 062,(blank),(blank),(blank),Far North Queensland,info@childsafety.qld.gov.au,,
Child Safety After Hours Service Centre,Child Safety Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),1800 177 135  ,(blank),(blank),(blank),All Regions,info@childsafety.qld.gov.au,,
Clinical Services Team,Disability Services,(blank),(blank),(blank),(blank),PO Box 151 ,Nundah,4012,QLD,07 3406 9000,07 3406 9079,(blank),(blank),(blank),(blank),South West,(blank),,
Clinical Services Team (South West),Disability Services,(blank),(blank),(blank),(blank),PO Box 876 ,Ipswich,4305,QLD,07 3381 7370,07 3381 7411,13 74 68,(blank),(blank),(blank),South West,(blank),,
Clinical Services Team (South East),Disability Services,(blank),(blank),(blank),(blank),PO Box 1158 ,Beenleigh,4207,QLD,07 3884 7001,07 3884 7044,13 74 68,(blank),(blank),(blank),South East,(blank),,
Clinical Services Team (North Coast),Disability Services,(blank),(blank),(blank),(blank),PO Box 1177 ,Maroochydore,4558,QLD,07 5352 7133,07 5459 8229,13 74 68,(blank),(blank),(blank),North Coast,(blank),,
Clinical Services Team (Central Queensland),Disability Services,(blank),(blank),(blank),(blank),PO Box 8205 ,Allenstown,4700,QLD,07 4938 6000,07 4938 6011,13 74 68,(blank),(blank),(blank),Central Queensland,(blank),,
Clinical Services Team (North Queensland),Disability Services,(blank),(blank),(blank),(blank),PO Box 1212 ,Aitkenvale,4814,QLD,07 4799 5250,07 4799 5298,13 74 68,(blank),(blank),(blank),North Queensland,(blank),,
Clinical Services Team (Far North Queensland),Disability Services,(blank),(blank),(blank),(blank),PO Box 2360 ,Cairns,4870,QLD,07 4048 9900,07 40489911,13 74 68,(blank),(blank),(blank),Far North Queensland,(blank),,
Office of the Public Guardian (Brisbane North),Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3234 0870,(blank),1300 653 187,(blank),131 450,(blank),Brisbane,Adult.guardian@justice.qld.gov.au,,
Office of the Public Guardian (Ipswich),Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3884 6650,(blank),13 74 68,(blank),(blank),(blank),South West,Adultguardian.ipswich@justice.qld.gov.au,,
